Lower Super Output Area,Names,Age 16-29,No cars or vans (%),Public Transport Accessibility Levels,Non-English speaking(%),Income estimate,One person household(%),Private rented (%),No usual residents (%),High qualification Level (%)
E01004728,Westminster 003D,318,63,5.9,23.9,57541,46.9,37.9,9.9,49.3
E01004729,Westminster 003E,275,67.6,5.4,26.2,50679,54.6,25.6,6.4,43.6
E01004718,Westminster 004A,449,66.5,5.3,17.8,46860,36.4,25.8,3.4,34.3
E01004719,Westminster 004B,324,55,4.9,14.5,46562,30.9,13.5,3.7,32.6
E01004720,Westminster 004C,372,55.2,5.3,15.1,45058,29.7,10.4,2.9,29.5
E01004721,Westminster 004D,396,67.5,4.3,23.2,38736,40.2,19,2.8,24.2
E01004722,Westminster 004E,629,63.4,5.1,26.5,34108,28.9,15.7,2,23.5
E01004674,Westminster 005A,452,64.7,6,17.3,40773,36.4,16.8,1.6,28.4
E01004675,Westminster 005B,501,67.3,6.2,24.6,43672,44.6,30.7,2.4,39.6
E01004677,Westminster 005C,437,62.2,5,17.6,51657,40.2,33,2.3,44.1
E01004678,Westminster 005D,465,61.4,5.7,18.9,50106,38.4,31.3,2.8,42.2
E01004679,Westminster 005E,453,66.3,5.6,25.9,44538,35.1,30.1,2.6,37.1
E01004723,Westminster 005F,554,65.9,5.4,22.6,45809,40.4,32,3.8,37.8
E01004676,Westminster 006A,422,62.8,5.7,25.4,52724,40.1,44.8,2.8,47.5
E01004706,Westminster 006B,375,48,4.7,13.7,91258,29.8,47.2,3.8,72.3
E01004707,Westminster 006C,403,45.1,4.6,12.8,95369,24.9,44.2,5.9,67.5
E01004708,Westminster 006D,363,62.9,5.4,17.4,55390,41.1,41.5,3.1,51.7
E01004756,Westminster 006E,446,64.5,4.9,24.9,52953,42.3,42.7,3,50.8
E01004701,Westminster 007A,272,54.3,5.2,24.7,90882,47.3,50.5,10.1,64.6
E01004703,Westminster 007B,376,44.4,6.1,19.6,93759,35.8,35.1,11.5,62.7
